Topic,Count,Name,Representation,Representative_Docs
-1,3234,-1_v8_ajcc_stage_lymphoma,"['v8', 'ajcc', 'stage', 'lymphoma', 'iv', 'grade', 'childhood', 'leukemia', 'urothelial', 'hodgkin']","['Annular Pancreas Serial Measurements of Molecular and Architectural Responses to Therapy (SMMART) PRIME Trial; Conditions: Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive, Anatomic Stage IV Breast Cancer AJCC v8, Anemia, Ann Arbor Stage III Hodgkin Lymphoma, Ann Arbor Stage III Non-Hodgkin Lymphoma, Ann Arbor Stage IV Hodgkin Lymphoma, Ann Arbor Stage IV Non-Hodgkin Lymphoma, Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative, Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive, Castration-Resistant Prostate Carcinoma, Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive, Hematopoietic and Lymphoid System Neoplasm, Locally Advanced Pancreatic Adenocarcinoma, Metastatic Breast Carcinoma, Metastatic Malignant Solid Neoplasm, Metastatic Pancreatic Adenocarcinoma, Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis, Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable, Primary Myelofibrosis, Recurrent Acute Lymphoblastic Leukemia, Recurrent Acute Myeloid Leukemia, Recurrent Chronic Lymphocytic Leukemia, Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive, Recurrent Hematologic Malignancy, Recurrent Hodgkin Lymphoma, Recurrent Myelodysplastic Syndrome, Recurrent Myelodysplastic/Myeloproliferative Neoplasm, Recurrent Myeloproliferative Neoplasm, Recurrent Non-Hodgkin Lymphoma, Recurrent Plasma Cell Myeloma, Recurrent Small Lymphocytic Lymphoma, Refractory Acute Lymphoblastic Leukemia, Refractory Acute Myeloid Leukemia, Refractory Chronic Lymphocytic Leukemia, Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive, Refractory Chronic Myelomonocytic Leukemia, Refractory Hematologic Malignancy, Refractory Hodgkin Lymphoma, Refractory Malignant Solid Neoplasm, Refractory Myelodysplastic Syndrome, Refractory Myelodysplastic/Myeloproliferative Neoplasm, Refractory Non-Hodgkin Lymphoma, Refractory Plasma Cell Myeloma, Refractory Primary Myelofibrosis, Refractory Small Lymphocytic Lymphoma, Stage II Pancreatic Cancer AJCC v8, Stage III Pancreatic Cancer AJCC v8, Stage IV Pancreatic Cancer AJCC v8, Stage IV Prostate Cancer AJCC v8, Unresectable Pancreatic Adenocarcinoma Annular Pancreas clinical research Annular Pancreas Research', 'Hepatosplenic T-Cell Lymphoma Dose Monitoring of Busulfan and Combination Chemotherapy in Hodgkin or Non-Hodgkin Lymphoma Undergoing Stem Cell Transplant; Conditions: Adult Grade III Lymphomatoid Granulomatosis, Adult Nasal Type Extranodal NK/T-cell Lymphoma, Anaplastic Large Cell Lymphoma, Angioimmunoblastic T-cell Lymphoma, Childhood Burkitt Lymphoma, Childhood Diffuse Large Cell Lymphoma, Childhood Grade III Lymphomatoid Granulomatosis, Childhood Immunoblastic Large Cell Lymphoma, Childhood Nasal Type Extranodal NK/T-cell Lymphoma, Contiguous Stage II Adult Burkitt Lymphoma, Contiguous Stage II Adult Diffuse Large Cell Lymphoma, Contiguous Stage II Adult Diffuse Mixed Cell Lymphoma, Contiguous Stage II Adult Diffuse Small Cleaved Cell Lymphoma, Contiguous Stage II Adult Immunoblastic Large Cell Lymphoma, Contiguous Stage II Adult Lymphoblastic Lymphoma, Contiguous Stage II Grade 1 Follicular Lymphoma, Contiguous Stage II Grade 2 Follicular Lymphoma, Contiguous Stage II Grade 3 Follicular Lymphoma, Contiguous Stage II Mantle Cell Lymphoma, Contiguous Stage II Marginal Zone Lymphoma, Contiguous Stage II Small Lymphocytic Lymphoma, Cutaneous B-cell Non-Hodgkin Lymphoma, Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue, Hepatosplenic T-cell Lymphoma, Intraocular Lymphoma, Nodal Marginal Zone B-cell Lymphoma, Noncontiguous Stage II Adult Burkitt Lymphoma, Noncontiguous Stage II Adult Diffuse Large Cell Lymphoma, Noncontiguous Stage II Adult Diffuse Mixed Cell Lymphoma, Noncontiguous Stage II Adult Diffuse Small Cleaved Cell Lymphoma, Noncontiguous Stage II Adult Immunoblastic Large Cell Lymphoma, Noncontiguous Stage II Adult Lymphoblastic Lymphoma, Noncontiguous Stage II Grade 1 Follicular Lymphoma, Noncontiguous Stage II Grade 2 Follicular Lymphoma, Noncontiguous Stage II Grade 3 Follicular Lymphoma, Noncontiguous Stage II Mantle Cell Lymphoma, Noncontiguous Stage II Marginal Zone Lymphoma, Noncontiguous Stage II Small Lymphocytic Lymphoma, Noncutaneous Extranodal Lymphoma, Peripheral T-cell Lymphoma, Recurrent Adult Burkitt Lymphoma, Recurrent Adult Diffuse Large Cell Lymphoma, Recurrent Adult Diffuse Mixed Cell Lymphoma, Recurrent Adult Diffuse Small Cleaved Cell Lymphoma, Recurrent Adult Grade III Lymphomatoid Granulomatosis, Recurrent Adult Hodgkin Lymphoma, Recurrent Adult Immunoblastic Large Cell Lymphoma, Recurrent Adult Lymphoblastic Lymphoma, Recurrent Adult T-cell Leukemia/Lymphoma, Recurrent Childhood Anaplastic Large Cell Lymphoma, Recurrent Childhood Grade III Lymphomatoid Granulomatosis, Recurrent Childhood Large Cell Lymphoma, Recurrent Childhood Lymphoblastic Lymphoma, Recurrent Childhood Small Noncleaved Cell Lymphoma, Recurrent Cutaneous T-cell Non-Hodgkin Lymphoma, Recurrent Grade 1 Follicular Lymphoma, Recurrent Grade 2 Follicular Lymphoma, Recurrent Grade 3 Follicular Lymphoma, Recurrent Mantle Cell Lymphoma, Recurrent Marginal Zone Lymphoma, Recurrent Mycosis Fungoides/Sezary Syndrome, Recurrent Small Lymphocytic Lymphoma, Recurrent/Refractory Childhood Hodgkin Lymphoma, Refractory Hairy Cell Leukemia, Small Intestine Lymphoma, Splenic Marginal Zone Lymphoma, Stage I Adult Burkitt Lymphoma, Stage I Adult Diffuse Large Cell Lymphoma, Stage I Adult Diffuse Mixed Cell Lymphoma, Stage I Adult Diffuse Small Cleaved Cell Lymphoma, Stage I Adult Hodgkin Lymphoma, Stage I Adult Immunoblastic Large Cell Lymphoma, Stage I Adult Lymphoblastic Lymphoma, Stage I Adult T-cell Leukemia/Lymphoma, Stage I Childhood Anaplastic Large Cell Lymphoma, Stage I Childhood Hodgkin Lymphoma, Stage I Childhood Large Cell Lymphoma, Stage I Childhood Lymphoblastic Lymphoma, Stage I Childhood Small Noncleaved Cell Lymphoma, Stage I Cutaneous T-cell Non-Hodgkin Lymphoma, Stage I Grade 1 Follicular Lymphoma, Stage I Grade 2 Follicular Lymphoma, Stage I Grade 3 Follicular Lymphoma, Stage I Mantle Cell Lymphoma, Stage I Marginal Zone Lymphoma, Stage I Small Lymphocytic Lymphoma, Stage IA Mycosis Fungoides/Sezary Syndrome, Stage IB Mycosis Fungoides/Sezary Syndrome, Stage II Adult Hodgkin Lymphoma, Stage II Adult T-cell Leukemia/Lymphoma, Stage II Childhood Anaplastic Large Cell Lymphoma, Stage II Childhood Hodgkin Lymphoma, Stage II Childhood Large Cell Lymphoma, Stage II Childhood Lymphoblastic Lymphoma, Stage II Childhood Small Noncleaved Cell Lymphoma, Stage II Cutaneous T-cell Non-Hodgkin Lymphoma, Stage IIA Mycosis Fungoides/Sezary Syndrome, Stage IIB Mycosis Fungoides/Sezary Syndrome, Stage III Adult Burkitt Lymphoma, Stage III Adult Diffuse Large Cell Lymphoma, Stage III Adult Diffuse Mixed Cell Lymphoma, Stage III Adult Diffuse Small Cleaved Cell Lymphoma, Stage III Adult Hodgkin Lymphoma, Stage III Adult Immunoblastic Large Cell Lymphoma, Stage III Adult Lymphoblastic Lymphoma, Stage III Adult T-cell Leukemia/Lymphoma, Stage III Childhood Anaplastic Large Cell Lymphoma, Stage III Childhood Hodgkin Lymphoma, Stage III Childhood Large Cell Lymphoma, Stage III Childhood Lymphoblastic Lymphoma, Stage III Childhood Small Noncleaved Cell Lymphoma, Stage III Cutaneous T-cell Non-Hodgkin Lymphoma, Stage III Grade 1 Follicular Lymphoma, Stage III Grade 2 Follicular Lymphoma, Stage III Grade 3 Follicular Lymphoma, Stage III Mantle Cell Lymphoma, Stage III Marginal Zone Lymphoma, Stage III Small Lymphocytic Lymphoma, Stage IIIA Mycosis Fungoides/Sezary Syndrome, Stage IIIB Mycosis Fungoides/Sezary Syndrome, Stage IV Adult Burkitt Lymphoma, Stage IV Adult Diffuse Large Cell Lymphoma, Stage IV Adult Diffuse Mixed Cell Lymphoma, Stage IV Adult Diffuse Small Cleaved Cell Lymphoma, Stage IV Adult Hodgkin Lymphoma, Stage IV Adult Immunoblastic Large Cell Lymphoma, Stage IV Adult Lymphoblastic Lymphoma, Stage IV Adult T-cell Leukemia/Lymphoma, Stage IV Childhood Anaplastic Large Cell Lymphoma, Stage IV Childhood Hodgkin Lymphoma, Stage IV Childhood Large Cell Lymphoma, Stage IV Childhood Lymphoblastic Lymphoma, Stage IV Childhood Small Noncleaved Cell Lymphoma, Stage IV Cutaneous T-cell Non-Hodgkin Lymphoma, Stage IV Grade 1 Follicular Lymphoma, Stage IV Grade 2 Follicular Lymphoma, Stage IV Grade 3 Follicular Lymphoma, Stage IV Mantle Cell Lymphoma, Stage IV Marginal Zone Lymphoma, Stage IV Small Lymphocytic Lymphoma, Stage IVA Mycosis Fungoides/Sezary Syndrome, Stage IVB Mycosis Fungoides/Sezary Syndrome, T-cell Large Granular Lymphocyte Leukemia, Testicular Lymphoma, Waldenström Macroglobulinemia Hepatosplenic T-Cell Lymphoma clinical research Hepatosplenic T-Cell Lymphoma Research', 'Aggressive Nk-Cell Leukemia Bevacizumab and Cediranib Maleate in Treating Patients With Metastatic or Unresectable Solid Tumor, Lymphoma, Intracranial Glioblastoma, Gliosarcoma or Anaplastic Astrocytoma; Conditions: Adult Grade III Lymphomatoid Granulomatosis, Adult Nasal Type Extranodal NK/T-cell Lymphoma, Anaplastic Large Cell Lymphoma, Angioimmunoblastic T-cell Lymphoma, Childhood Burkitt Lymphoma, Childhood Diffuse Large Cell Lymphoma, Childhood Grade III Lymphomatoid Granulomatosis, Childhood Immunoblastic Large Cell Lymphoma, Childhood Nasal Type Extranodal NK/T-cell Lymphoma, Cutaneous B-cell Non-Hodgkin Lymphoma, Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue, Hepatosplenic T-cell Lymphoma, Intraocular Lymphoma, Nodal Marginal Zone B-cell Lymphoma, Noncutaneous Extranodal Lymphoma, Peripheral T-cell Lymphoma, Progressive Hairy Cell Leukemia, Initial Treatment, Recurrent Adult Burkitt Lymphoma, Recurrent Adult Diffuse Large Cell Lymphoma, Recurrent Adult Diffuse Mixed Cell Lymphoma, Recurrent Adult Diffuse Small Cleaved Cell Lymphoma, Recurrent Adult Hodgkin Lymphoma, Recurrent Adult Immunoblastic Large Cell Lymphoma, Recurrent Adult Lymphoblastic Lymphoma, Recurrent Adult T-cell Leukemia/Lymphoma, Recurrent Childhood Anaplastic Large Cell Lymphoma, Recurrent Childhood Large Cell Lymphoma, Recurrent Childhood Lymphoblastic Lymphoma, Recurrent Childhood Small Noncleaved Cell Lymphoma, Recurrent Grade 1 Follicular Lymphoma, Recurrent Grade 2 Follicular Lymphoma, Recurrent Grade 3 Follicular Lymphoma, Recurrent Mantle Cell Lymphoma, Recurrent Mycosis Fungoides/Sezary Syndrome, Recurrent/Refractory Childhood Hodgkin Lymphoma, Refractory Hairy Cell Leukemia, Small Intestine Lymphoma, Splenic Marginal Zone Lymphoma, Stage IV Adult Burkitt Lymphoma, Stage IV Adult Diffuse Large Cell Lymphoma, Stage IV Adult Diffuse Mixed Cell Lymphoma, Stage IV Adult Diffuse Small Cleaved Cell Lymphoma, Stage IV Adult Hodgkin Lymphoma, Stage IV Adult Immunoblastic Large Cell Lymphoma, Stage IV Adult Lymphoblastic Lymphoma, Stage IV Adult T-cell Leukemia/Lymphoma, Stage IV Childhood Anaplastic Large Cell Lymphoma, Stage IV Childhood Hodgkin Lymphoma, Stage IV Childhood Large Cell Lymphoma, Stage IV Childhood Lymphoblastic Lymphoma, Stage IV Childhood Small Noncleaved Cell Lymphoma, Stage IV Grade 1 Follicular Lymphoma, Stage IV Grade 2 Follicular Lymphoma, Stage IV Grade 3 Follicular Lymphoma, Stage IV Mantle Cell Lymphoma, Stage IVA Mycosis Fungoides/Sezary Syndrome, Stage IVB Mycosis Fungoides/Sezary Syndrome, T-cell Large Granular Lymphocyte Leukemia, Testicular Lymphoma, Unspecified Adult Solid Tumor, Protocol Specific, Unspecified Childhood Solid Tumor, Protocol Specific, Waldenström Macroglobulinemia Aggressive Nk-Cell Leukemia clinical research Aggressive Nk-Cell Leukemia Research']"
0,195,0_aortic_valve_stenosis_tavi,"['aortic', 'valve', 'stenosis', 'tavi', 'transcatheter', 'williams', 'replacement', 'insufficiency', 'tavr', 'sapien']","['Aortic Valve Disease 3 PARTNER 3 Trial - Aortic Valve-in-Valve; Conditions: Aortic Stenosis, Aortic Stenosis, Severe Aortic Valve Disease 3 clinical research Aortic Valve Disease 3 Research', 'Aortic Valve Stenosis Cardiac Imaging in Adults With Congenital Aortic Stenosis; Conditions: Congenital Aortic Stenosis Aortic Valve Stenosis clinical research Aortic Valve Stenosis Research', 'Aortic Valve Stenosis Cardiac Imaging in Adults With Congenital Aortic Stenosis; Conditions: Congenital Aortic Stenosis Aortic Valve Stenosis clinical research Aortic Valve Stenosis Research']"
1,114,1_renal_clear_nonpapillary_sarcomatoid,"['renal', 'clear', 'nonpapillary', 'sarcomatoid', 'chromophobe', 'papillary', 'medullary', 'sunitinib', 'carcinoma', 'kidney']","['Clear Cell Renal Carcinoma CBM588 Capsules in Combination With Nivolumab and Ipilimumab for the Treatment of Advanced Stage Kidney Cancer; Conditions: Advanced Clear Cell Renal Cell Carcinoma, Advanced Renal Cell Carcinoma, Advanced Sarcomatoid Renal Cell Carcinoma, Metastatic Clear Cell Renal Cell Carcinoma, Metastatic Renal Cell Carcinoma, Metastatic Sarcomatoid Renal Cell Carcinoma, Stage III Renal Cell Cancer AJCC v8, Stage IV Renal Cell Cancer AJCC v8 Clear Cell Renal Carcinoma clinical research Clear Cell Renal Carcinoma Research', 'Clear Cell Renal Carcinoma Sunitinib in Metastatic Renal Cancer; Conditions: Carcinoma, Renal Cell Clear Cell Renal Carcinoma clinical research Clear Cell Renal Carcinoma Research', 'Clear Cell Papillary Renal Cell Carcinoma CBM588 in Combination With Nivolumab and Cabozantinib for the Treatment of Advanced or Metastatic Kidney Cancer; Conditions: Advanced Clear Cell Renal Cell Carcinoma, Advanced Papillary Renal Cell Carcinoma, Advanced Renal Cell Carcinoma, Advanced Sarcomatoid Renal Cell Carcinoma, Metastatic Clear Cell Renal Cell Carcinoma, Metastatic Papillary Renal Cell Carcinoma, Metastatic Renal Cell Carcinoma, Metastatic Sarcomatoid Renal Cell Carcinoma, Stage III Renal Cell Cancer AJCC v8, Stage IV Renal Cell Cancer AJCC v8, Unresectable Clear Cell Renal Cell Carcinoma, Unresectable Renal Cell Carcinoma Clear Cell Papillary Renal Cell Carcinoma clinical research Clear Cell Papillary Renal Cell Carcinoma Research']"
2,110,2_esophagus_esophageal_barrett_adenocarcinoma,"['esophagus', 'esophageal', 'barrett', 'adenocarcinoma', 'squamous', 'escc', 'carcinoma', 'neoadjuvant', 'esophagectomy', 'chemoradiotherapy']","['Carcinoma Of Esophagus Optimizing Neoadjuvant Treatment Regimens for Locally Advanced Esophageal Squamous Cell Carcinoma; Conditions: Locally Advanced Esophageal Squamous Cell Carcinoma Carcinoma Of Esophagus clinical research Carcinoma Of Esophagus Research', 'Carcinoma Of Esophagus Bortezomib, Paclitaxel, and Carboplatin in Treating Patients With Unresectable, Metastatic Cancer of the Esophagus or Gastroesophageal Junction; Conditions: Esophageal Cancer Carcinoma Of Esophagus clinical research Carcinoma Of Esophagus Research', 'Carcinoma Of Esophagus Induction Chemotherapy for Locally Advanced Esophageal Cancer; Conditions: Esophageal Carcinoma Carcinoma Of Esophagus clinical research Carcinoma Of Esophagus Research']"
3,96,3_polyangiitis_granulomatosis_vasculitis_granuloma,"['polyangiitis', 'granulomatosis', 'vasculitis', 'granuloma', 'microscopic', 'anca', 'lymphoproliferative', 'wegener', 'eosinophilic', 'annulare']","['Granulomatosis With Polyangiitis Rituximab Vasculitis Maintenance Study; Conditions: Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis, Microscopic Polyangiitis, Wegener Granulomatosis Granulomatosis With Polyangiitis clinical research Granulomatosis With Polyangiitis Research', ""Granulomatosis With Polyangiitis Pharmacokinetic Study of Rituximab Induction Regimen in ANCA-associated Vasculitis; Conditions: Granulomatosis, Wegener's, Microscopic Polyangiitis Granulomatosis With Polyangiitis clinical research Granulomatosis With Polyangiitis Research"", ""Granulomatosis With Polyangiitis Alemtuzumab for ANCA Associated Refractory Vasculitis; Conditions: Vasculitis, Microscopic Polyangiitis, Granulomatosis With Polyangiitis, Wegener's Granulomatosis With Polyangiitis clinical research Granulomatosis With Polyangiitis Research""]"
4,94,4_hepatocellular_hcc_liver_simpson,"['hepatocellular', 'hcc', 'liver', 'simpson', 'golabi', 'behmel', 'tace', 'regenerative', 'bclc', 'carcinoma']","['Adult Hepatocellular Carcinoma Sorafenib Tosylate in Treating Patients With Liver Cancer That Cannot Be Removed by Surgery; Conditions: Advanced Adult Hepatocellular Carcinoma, Localized Non-Resectable Adult Hepatocellular Carcinoma, Stage III Childhood Hepatocellular Carcinoma, Stage IIIA Hepatocellular Carcinoma, Stage IIIB Hepatocellular Carcinoma, Stage IIIC Hepatocellular Carcinoma, Stage IV Childhood Hepatocellular Carcinoma, Stage IVA Hepatocellular Carcinoma, Stage IVB Hepatocellular Carcinoma Adult Hepatocellular Carcinoma clinical research Adult Hepatocellular Carcinoma Research', 'Adult Hepatocellular Carcinoma Vaccine Therapy in Treating Patients With Liver Cancer; Conditions: Liver Cancer Adult Hepatocellular Carcinoma clinical research Adult Hepatocellular Carcinoma Research', 'Adult Hepatocellular Carcinoma Gene Therapy in Treating Patients With Cancer of The Liver; Conditions: Liver Cancer Adult Hepatocellular Carcinoma clinical research Adult Hepatocellular Carcinoma Research']"
5,94,5_host_graft_versus_chronic,"['host', 'graft', 'versus', 'chronic', 'injury', 'copd', 'disease', 'acute', 'sepsis', 'actin']","['Graft Versus Host Disease Multidisciplinary Intervention for Adults With Chronic Graft-versus-host Disease; Conditions: Bone Marrow Transplant Complications, Graft-versus-Host Disease Graft Versus Host Disease clinical research Graft Versus Host Disease Research', 'Graft Versus Host Disease Clobetasol for Oral Graft-Versus-Host Disease; Conditions: Oral Chronic Graft vs Host Disease Graft Versus Host Disease clinical research Graft Versus Host Disease Research', 'Graft Versus Host Disease T&B Depletion Non Malignant; Conditions: Graft Versus Host Disease Graft Versus Host Disease clinical research Graft Versus Host Disease Research']"
6,91,6_epileptic_developmental_encephalopathy_lennox,"['epileptic', 'developmental', 'encephalopathy', 'lennox', 'gastaut', 'dravet', 'epilepsy', 'hyperekplexia', 'spasms', 'stxbp1']","['Developmental And Epileptic Encephalopathy, 2 Turmeric as Treatment in Epilepsy; Conditions: Epilepsy, Dravet Syndrome, Lennox-Gastaut Syndrome, Tuberous Sclerosis, Focal Seizures Developmental And Epileptic Encephalopathy, 2 clinical research Developmental And Epileptic Encephalopathy, 2 Research', 'Developmental And Epileptic Encephalopathy, 2 The Pharmacokinetics of Cannabidiol (CBD) and Its Effects in Children With Severe Epilepsy; Conditions: Dravet Syndrome, Lennox Gastaut Syndrome Developmental And Epileptic Encephalopathy, 2 clinical research Developmental And Epileptic Encephalopathy, 2 Research', 'Developmental And Epileptic Encephalopathy, 2 Cardiac Arrhythmias in Dravet Syndrome; Conditions: Epilepsy Developmental And Epileptic Encephalopathy, 2 clinical research Developmental And Epileptic Encephalopathy, 2 Research']"
7,89,7_thyroid_differentiated_gland_follicular,"['thyroid', 'differentiated', 'gland', 'follicular', 'papillary', 'thyroidectomy', 'iodine', 'medullary', 'radioiodine', 'carcinoma']","['Differentiated Thyroid Carcinoma Treatment Efficacy and Safety of Low-dose Radioiodine Ablation for Intermediate-risk Differentiated Thyroid Carcinoma; Conditions: Papillary Thyroid Cancer Differentiated Thyroid Carcinoma clinical research Differentiated Thyroid Carcinoma Research', 'Differentiated Thyroid Carcinoma Spanish Study for Molecular Characterization of Thyroid Carcinoma; Conditions: Differentiated Thyroid Carcinoma, Medullary Thyroid Carcinoma Differentiated Thyroid Carcinoma clinical research Differentiated Thyroid Carcinoma Research', 'Differentiated Thyroid Carcinoma Lateral Cervical Node Dissection in Differentiated Thyroid Cancer.; Conditions: Thyroid Cancer Differentiated Thyroid Carcinoma clinical research Differentiated Thyroid Carcinoma Research']"
8,89,8_age_macular_degeneration_related,"['age', 'macular', 'degeneration', 'related', 'amd', 'neovascular', 'wet', 'geographic', '12', 'intravitreal']","['Macular Degeneration, Age-Related, 3 Long-term Results After Intravitreal Bevacizumab Treatment Of Neovascular Age-related Macular Degeneration; Conditions: Neovascular Age-related Macular Degeneration Macular Degeneration, Age-Related, 3 clinical research Macular Degeneration, Age-Related, 3 Research', 'Age Related Macular Degeneration 2 Genetic Assessment of Early to Late Macular Degeneration Study; Conditions: Age-related Macular Degeneration Age Related Macular Degeneration 2 clinical research Age Related Macular Degeneration 2 Research', 'Macular Degeneration, Age-Related, 3 Combination Therapy for Age-Related Macular Degeneration.; Conditions: Age Related Macular Degeneration Macular Degeneration, Age-Related, 3 clinical research Macular Degeneration, Age-Related, 3 Research']"
